split,T_train_yr,T_test_yr,n_train,n_test,mu0,gamma,alpha,c,p,kappa,ll_train,ll_test,ll_poi,delta_ll_per_event,brier_h,brier_clim,BSS,base_rate,n_obs_windows
1980,135.49897330595482,45.412731006160165,345,89,0.0004901322250870387,2.9302208103745278,0.10157086106742826,1.0298694459264375,1.0553591888473437,0.4915356209273539,-1871.3129129563438,-497.15379273649353,-557.6015378139276,0.6791881469374617,0.057354877589796585,0.10069556272934076,0.43041305857775924,0.11360067641019447,1881
1985,140.50102669404518,40.41067761806981,359,75,0.0007647874048582837,3.0792054183963122,0.100624344579099,1.0370236825515733,1.0807428423427257,0.5692873141435896,-1944.3672658400992,-415.3142016964134,-475.4405826202712,0.8016850789847703,0.053571111040776796,0.09500537185399564,0.436125452746978,0.10630642861991718,1566
1990,145.50034223134838,35.4113620807666,370,64,0.0009790766059217474,3.00341960566705,0.0994695433908658,1.0128724565183367,1.0954437720787662,0.5835585519323521,-2003.5873077071622,-351.15238223617433,-407.9537789722891,0.8875218240017935,0.052013078288379554,0.09219313010869375,0.435824792725258,0.10275087175513367,1326
1995,150.49965776865162,30.412046543463383,389,45,0.0013364091073200229,2.9472630327637486,0.10462791818467668,1.0552654387437017,1.1362582079066625,0.629802066970774,-2090.5238893233495,-255.7138096020975,-301.40008921978307,1.01525065817079,0.045158504145008646,0.08181783453286416,0.44806038435459183,0.08989981045220688,996
2000,155.49897330595482,25.412731006160165,395,39,0.0016229810286388239,2.761968550687655,0.10685789860192313,1.1023151639047102,1.1621167806094237,0.6756610170660589,-2128.786627062745,-214.49174882215272,-258.31874692804115,1.1237691822022675,0.04343275668639521,0.08049955938592313,0.46045969670251075,0.08829568788501027,817
2005,160.50102669404518,20.410677618069816,416,18,0.0021576234086015476,2.6814417286036987,0.11769721958136949,1.1655986899841184,1.2317094018797885,0.6973603947739431,-2223.1164601475493,-110.5517512400883,-141.9696516058498,1.7454389092089728,0.031247298618133874,0.05347863893676428,0.41570505085063614,0.05669270131968759,421
2010,165.50034223134838,15.411362080766597,421,13,0.00237862447295211,2.5678318022749824,0.12572564599740393,1.245651529289629,1.2665085253942152,0.7205076800335888,-2253.750350019598,-78.586609284412,-103.77343646085595,1.9374482443418417,0.031036987700906942,0.05117955994897959,0.3935667338318771,0.05410714285714286,303
2015,170.49965776865162,10.412046543463381,422,12,0.0025698461684187743,2.4955971844364377,0.13693989204508542,1.33132775048567,1.3094635107238104,0.7466335186524788,-2260.2776810099176,-67.20112785891708,-85.70235058210072,1.5417685602653037,0.037337514063637424,0.06710439514610468,0.4435906324415352,0.07233704292527822,273
