date,k_max_helsinki,ak_helsinki,n_missing_k
1845-01-03,1.0,1.0,0
1845-01-04,1.0,1.0,0
1845-01-05,2.0,1.0,0
1845-01-06,1.0,1.0,0
1845-01-07,3.0,3.0,0
1845-01-08,2.0,1.0,0
1845-01-09,6.0,16.0,0
1845-01-10,6.0,26.0,0
1845-01-11,4.0,6.0,0
1845-01-12,3.0,5.0,0
1845-01-13,2.0,3.0,0
1845-01-14,3.0,5.0,0
1845-01-15,3.0,6.0,0
1845-01-16,2.0,2.0,0
1845-01-17,2.0,4.0,0
1845-01-18,3.0,3.0,0
1845-01-19,4.0,11.0,0
1845-01-20,5.0,22.0,0
1845-01-21,4.0,5.0,0
1845-01-22,3.0,7.0,0
1845-01-23,3.0,7.0,0
1845-01-24,4.0,15.0,0
1845-01-25,3.0,7.0,0
1845-01-26,5.0,12.0,0
1845-01-27,4.0,12.0,0
1845-01-28,4.0,8.0,0
1845-01-29,5.0,17.0,0
1845-01-30,4.0,6.0,0
1845-01-31,2.0,2.0,0
1845-02-01,1.0,0.0,0
1845-02-02,2.0,3.0,0
1845-02-03,2.0,1.0,0
1845-02-04,2.0,2.0,0
1845-02-05,2.0,3.0,0
1845-02-06,4.0,9.0,0
1845-02-07,2.0,4.0,0
1845-02-08,2.0,2.0,0
1845-02-09,4.0,7.0,0
1845-02-10,3.0,6.0,0
1845-02-11,2.0,3.0,0
1845-02-12,2.0,2.0,0
1845-02-13,2.0,2.0,0
1845-02-14,2.0,2.0,0
1845-02-15,1.0,0.0,0
1845-02-16,3.0,3.0,0
1845-02-17,3.0,5.0,0
1845-02-18,2.0,1.0,0
1845-02-19,3.0,4.0,0
1845-02-20,4.0,8.0,0
1845-02-21,5.0,19.0,0
1845-02-22,4.0,12.0,0
1845-02-23,3.0,6.0,0
1845-02-24,5.0,25.0,0
1845-02-25,4.0,14.0,0
1845-02-26,5.0,18.0,0
1845-02-27,4.0,13.0,0
1845-02-28,4.0,9.0,0
1845-03-01,2.0,4.0,0
1845-03-02,2.0,2.0,0
1845-03-03,3.0,6.0,0
1845-03-04,1.0,1.0,0
1845-03-05,1.0,1.0,0
1845-03-06,1.0,1.0,0
1845-03-07,2.0,4.0,0
1845-03-08,2.0,1.0,0
1845-03-09,3.0,6.0,0
1845-03-10,2.0,3.0,0
1845-03-11,3.0,6.0,0
1845-03-12,2.0,2.0,0
1845-03-13,3.0,4.0,0
1845-03-14,4.0,11.0,0
1845-03-15,3.0,8.0,0
1845-03-16,3.0,7.0,0
1845-03-17,3.0,6.0,0
1845-03-18,3.0,4.0,0
1845-03-19,4.0,9.0,0
1845-03-20,4.0,13.0,0
1845-03-21,4.0,9.0,0
1845-03-22,2.0,5.0,0
1845-03-23,4.0,8.0,0
1845-03-24,4.0,19.0,0
1845-03-25,4.0,14.0,0
1845-03-26,4.0,14.0,0
1845-03-27,4.0,12.0,0
1845-03-28,4.0,7.0,0
1845-03-29,4.0,9.0,0
1845-03-30,1.0,2.0,0
1845-03-31,2.0,2.0,0
1845-04-01,2.0,2.0,0
1845-04-02,2.0,4.0,0
1845-04-03,3.0,8.0,0
1845-04-04,3.0,7.0,0
1845-04-05,2.0,3.0,0
1845-04-06,3.0,4.0,0
1845-04-07,3.0,6.0,0
1845-04-08,2.0,3.0,0
1845-04-09,2.0,3.0,0
1845-04-10,2.0,3.0,0
1845-04-11,2.0,3.0,0
1845-04-12,3.0,4.0,0
1845-04-13,3.0,5.0,0
1845-04-14,4.0,17.0,0
1845-04-15,3.0,8.0,0
1845-04-16,2.0,5.0,0
1845-04-17,1.0,2.0,1
1845-04-18,0.0,0.0,5
1845-04-19,2.0,7.0,7
1845-04-20,5.0,18.0,0
1845-04-21,5.0,16.0,0
1845-04-22,3.0,9.0,0
1845-04-23,3.0,4.0,0
1845-04-24,3.0,7.0,0
1845-04-25,3.0,9.0,0
1845-04-26,3.0,5.0,0
1845-04-27,5.0,9.0,0
1845-04-28,4.0,17.0,0
1845-04-29,2.0,4.0,0
1845-04-30,3.0,5.0,0
1845-05-01,6.0,19.0,0
1845-05-02,2.0,3.0,0
1845-05-03,2.0,1.0,0
1845-05-04,3.0,4.0,0
1845-05-05,3.0,3.0,0
1845-05-06,2.0,3.0,0
1845-05-07,3.0,5.0,0
1845-05-08,2.0,3.0,0
1845-05-09,2.0,2.0,0
1845-05-10,1.0,1.0,0
1845-05-11,3.0,6.0,0
1845-05-12,3.0,4.0,0
1845-05-13,3.0,7.0,0
1845-05-14,3.0,8.0,0
1845-05-15,3.0,8.0,0
1845-05-16,5.0,13.0,0
1845-05-17,2.0,2.0,0
1845-05-18,4.0,13.0,0
1845-05-19,5.0,12.0,0
1845-05-20,3.0,7.0,0
1845-05-21,3.0,5.0,0
1845-05-22,3.0,6.0,0
1845-05-23,1.0,2.0,0
1845-05-24,3.0,5.0,0
1845-05-25,2.0,3.0,0
1845-05-26,2.0,1.0,0
1845-05-27,2.0,2.0,0
1845-05-28,1.0,1.0,0
1845-05-29,2.0,3.0,0
1845-05-30,3.0,7.0,0
1845-05-31,4.0,13.0,0
1845-06-01,3.0,5.0,0
1845-06-02,2.0,3.0,0
1845-06-03,4.0,7.0,0
1845-06-04,3.0,5.0,0
1845-06-05,4.0,5.0,0
1845-06-06,1.0,1.0,0
1845-06-07,2.0,3.0,0
1845-06-08,2.0,4.0,0
1845-06-09,3.0,6.0,0
1845-06-10,4.0,5.0,0
1845-06-11,3.0,7.0,0
1845-06-12,3.0,5.0,0
1845-06-13,2.0,3.0,0
1845-06-14,2.0,3.0,0
1845-06-15,2.0,2.0,0
1845-06-16,1.0,2.0,0
1845-06-17,2.0,2.0,0
1845-06-18,2.0,3.0,0
1845-06-19,2.0,3.0,0
1845-06-20,2.0,4.0,0
1845-06-21,3.0,7.0,0
1845-06-22,2.0,3.0,0
1845-06-23,3.0,4.0,0
1845-06-24,6.0,21.0,0
1845-06-25,1.0,0.0,0
1845-06-26,2.0,3.0,0
1845-06-27,2.0,1.0,0
1845-06-28,4.0,10.0,0
1845-06-29,2.0,3.0,0
1845-06-30,2.0,4.0,0
1845-07-01,3.0,5.0,0
1845-07-02,2.0,3.0,0
1845-07-03,3.0,4.0,0
1845-07-04,3.0,7.0,0
1845-07-05,2.0,3.0,0
1845-07-06,4.0,9.0,0
1845-07-07,4.0,9.0,0
1845-07-08,3.0,7.0,0
1845-07-09,4.0,10.0,0
1845-07-10,3.0,5.0,0
1845-07-11,2.0,4.0,0
1845-07-12,3.0,8.0,0
1845-07-13,3.0,8.0,0
1845-07-14,3.0,4.0,0
1845-07-15,3.0,5.0,0
1845-07-16,2.0,3.0,0
1845-07-17,2.0,2.0,0
1845-07-18,2.0,5.0,0
1845-07-19,4.0,8.0,0
1845-07-20,4.0,10.0,0
1845-07-21,4.0,9.0,0
1845-07-22,2.0,2.0,0
1845-07-23,4.0,7.0,0
1845-07-24,4.0,10.0,0
1845-07-25,3.0,8.0,0
1845-07-26,2.0,6.0,0
1845-07-27,3.0,6.0,0
1845-07-28,5.0,17.0,0
1845-07-29,3.0,3.0,0
1845-07-30,4.0,10.0,0
1845-07-31,3.0,5.0,0
1845-08-01,6.0,20.0,0
1845-08-02,4.0,13.0,0
1845-08-03,5.0,25.0,0
1845-08-04,5.0,17.0,0
1845-08-05,5.0,15.0,0
1845-08-06,3.0,7.0,0
1845-08-07,4.0,11.0,0
1845-08-08,4.0,13.0,0
1845-08-09,3.0,6.0,0
1845-08-10,3.0,7.0,0
1845-08-11,2.0,2.0,0
1845-08-12,1.0,2.0,0
1845-08-13,2.0,3.0,0
1845-08-14,3.0,3.0,0
1845-08-15,5.0,13.0,0
1845-08-16,3.0,7.0,0
1845-08-17,4.0,11.0,0
1845-08-18,4.0,10.0,0
1845-08-19,2.0,4.0,0
1845-08-20,2.0,4.0,0
1845-08-21,2.0,3.0,0
1845-08-22,2.0,5.0,0
1845-08-23,3.0,8.0,0
1845-08-24,3.0,4.0,0
1845-08-25,3.0,7.0,0
1845-08-26,5.0,10.0,0
1845-08-27,2.0,3.0,0
1845-08-28,3.0,5.0,0
1845-08-29,6.0,30.0,0
1845-08-30,5.0,23.0,0
1845-08-31,4.0,16.0,0
1845-09-01,4.0,18.0,0
1845-09-02,4.0,17.0,0
1845-09-03,5.0,16.0,0
1845-09-04,4.0,10.0,0
1845-09-05,4.0,10.0,0
1845-09-06,3.0,6.0,0
1845-09-07,4.0,8.0,0
1845-09-08,5.0,16.0,0
1845-09-09,3.0,5.0,0
1845-09-10,3.0,5.0,0
1845-09-11,3.0,4.0,0
1845-09-12,3.0,7.0,0
1845-09-13,3.0,9.0,0
1845-09-14,3.0,5.0,0
1845-09-15,2.0,2.0,0
1845-09-16,3.0,5.0,0
1845-09-17,3.0,6.0,0
1845-09-18,6.0,25.0,0
1845-09-19,3.0,10.0,0
1845-09-20,4.0,9.0,0
1845-09-21,3.0,9.0,0
1845-09-22,2.0,2.0,0
1845-09-23,3.0,3.0,0
1845-09-24,4.0,13.0,0
1845-09-25,5.0,15.0,0
1845-09-26,4.0,11.0,0
1845-09-27,5.0,14.0,0
1845-09-28,5.0,24.0,0
1845-09-29,4.0,11.0,0
1845-09-30,3.0,4.0,0
1845-10-01,2.0,5.0,0
