,n_days,n_exc,lam_per_year,gpd_shape,gpd_scale,fraction_of_record
min,8648.0,193.0,8.151512094790087,-0.034985619822838473,50.733574278095446,0.25187860429894565
rising,3582.0,143.0,14.58166126138969,-0.07152971226779214,65.78484801624484,0.10432807129958642
max,8648.0,470.0,19.850832562442182,-0.03724793723533491,71.20162169003981,0.25187860429894565
declining,10624.0,639.0,21.96895227185337,-0.02206666771117981,66.45728709484953,0.3094308848371876
