event_index,t_days,year,ssn_at_event,mu_at_event_per_year,p_background_v5
0,150.84554540636148,1932.4129925952261,19.921588545530362,0.5403705564282969,1.0
1,1940.8999087655916,1937.3138943429585,196.48606808721908,3.7492551457247973,1.0
2,1942.6826419911217,1937.3187752005233,196.3761470132398,3.7474799351785744,0.15864447729632425
3,1944.7167210666407,1937.3243442055214,196.25072827232114,3.7454542528697004,0.1437568045627817
4,2060.93778017055,1937.6425401236702,185.6184481277065,3.572989870901714,1.0
5,2208.3264536845336,1938.046068319465,187.8799167580427,3.6097971196568386,1.0
6,2213.6537602588774,1938.0606536899627,187.20120531037503,3.5987577237344963,0.6374133952266061
7,2216.6144182512153,1938.0687595297775,186.82401048518778,3.592619906103261,0.27140574114459975
8,2217.5050850214516,1938.0711980424953,186.71053743373477,3.5907730690139315,0.08114013112237523
9,2297.4448033952226,1938.290061063368,177.921982491665,3.44720079201675,1.0
10,2322.278778653266,1938.3580527820761,177.63211974277172,3.442447212377237,0.9999978034607291
11,2663.57776831588,1939.2924784895713,162.5012140297748,3.1925980231024655,1.0
12,2670.703072146686,1939.3119865082729,161.56830043847904,3.1770792276258204,0.8309696698055363
13,2842.7276294125154,1939.7829640777893,140.66676615274514,2.8255904552469264,1.0
14,2844.7483326158995,1939.788496461645,140.63241307412153,2.825006434164178,0.14205562466175517
15,3005.3015607485545,1940.2280672436648,118.92521168447078,2.4513045782537763,1.0
16,3006.86830956634,1940.2323567681487,118.54732500373662,2.444710895025401,0.0967378726766038
17,3010.0867624158122,1940.241168411816,117.7710611568582,2.4311558451811917,0.1835625835061702
18,3011.699530451264,1940.2455839300515,117.38207502660386,2.424358244132401,0.08527008531921608
19,3012.063658131525,1940.2465808573074,117.2942504826213,2.422823016105598,0.033476601074124215
20,3015.3326833122146,1940.2555309604716,116.50578901340299,2.4090322852715285,0.12903814492518598
21,3037.7812896173955,1940.316991894914,112.23095570134276,2.334009778247609,0.9999811432500278
22,3098.6470623260075,1940.4836332986338,109.81853155855316,2.2914789959393658,0.9999999999999998
23,3347.0716894833754,1941.1637828596397,92.20916712043713,1.9764168190634295,1.0
24,3473.7068899638416,1941.5104911429537,79.0228275603455,1.7344291481893903,1.0
25,3503.1149556406067,1941.5910060387148,78.20449887496387,1.7192161229156904,0.9999997658958204
26,3548.427626968381,1941.7150653715767,79.96176951470346,1.75185463270701,0.999999999991452
27,3549.4865568271666,1941.717964563524,80.02544963440073,1.7530353066339586,0.05253896580245876
28,3712.1267444533637,1942.1632491292357,64.21701061022435,1.455126035814746,1.0
29,4260.944022425572,1943.6658289457237,22.900455510473275,0.6080109171205796,1.0
30,4475.8561041945695,1944.254226157959,14.04961373693654,0.40210403582471677,1.0
31,4733.729540622844,1944.9602451488647,31.99065508122738,0.8068261337814769,1.0
32,5151.060134635157,1946.1028340441756,109.59128827893262,2.2874653653473733,1.0
33,5152.037948985773,1946.1055111539652,109.86510093261651,2.292301358822507,0.06440210656724672
34,5196.989027826143,1946.2285805005506,122.97623467207151,2.521790358711589,0.9999999999885123
35,5197.7015414396565,1946.2305312565084,123.17702676880612,2.525274670002216,0.06012206861233471
36,5200.5263132927885,1946.23826506035,123.97307031440265,2.5390797063313286,0.1323915970226485
37,5226.920865078987,1946.3105294047336,131.0090818855898,2.660517751466316,0.9999986763578584
38,5227.823795258245,1946.3130014928356,131.21940411706709,2.664132128017487,0.0708478582002273
39,5320.701256127512,1946.5672861221835,157.85091311430384,3.1151036366345246,1.0
40,5321.111151773454,1946.5684083553003,157.96222238996944,3.116962597437812,0.06105847838950244
41,5378.609443683464,1946.725830099065,167.92674732258885,3.2825820800169785,0.9999999999999967
42,5379.049011568346,1946.7270335703445,168.02088353760308,3.2841393745100738,0.06527472033723138
43,5540.559485574744,1947.169225148733,208.2481283024337,3.9383484618521014,1.0
44,5585.980518362422,1947.293581159103,216.04047870093956,4.062715619101719,0.9999999999965614
45,5676.636263394692,1947.5417830619979,209.69569802234633,3.961505239042568,1.0
