cycle,y0,y1,n_exc,gpd_shape,gpd_scale,g4plus
C17,1933,1944,176,-0.005176406630182633,67.0498022457694,29
C18,1944,1954,261,-0.021465756172981548,59.5114276868481,36
C19,1954,1964,250,-0.05270483132216296,78.06832544899399,54
C20,1964,1976,143,-0.025458880807822507,69.50082055529005,26
C21,1976,1986,191,-0.07836936252354315,60.2624555437311,25
C22,1986,1996,211,-0.009193495937170514,60.20229695363062,30
C23,1996,2008,160,-0.092654699216247,78.63349363865537,31
C24,2008,2019,57,-0.07275470567434705,42.670234129256116,3
C25,2019,2026,55,-0.003973125638111016,66.48140066802549,11
